Column1,Unnamed: 0,Sno,Date,Time,State/UnionTerritory,Recovered,Deaths,Confirmed,Confirmed Daily,Deaths Daily,Recovered Daily,Month-Year
35,35,36,03-Mar-20,18:00:00,Telangana,0,0,1,0,0,0,Mar-20
38,38,39,03-Mar-20,18:00:00,Delhi,0,0,1,0,0,0,Mar-20
42,42,43,04-Mar-20,18:00:00,Delhi,0,0,1,0,0,0,Mar-20
43,43,44,04-Mar-20,18:00:00,Telangana,0,0,1,0,0,0,Mar-20
44,44,45,04-Mar-20,18:00:00,Rajasthan,0,0,1,0,0,0,Mar-20
48,48,49,05-Mar-20,18:00:00,Rajasthan,0,0,1,0,0,0,Mar-20
49,49,50,05-Mar-20,18:00:00,Telangana,0,0,1,0,0,0,Mar-20
54,54,55,06-Mar-20,18:00:00,Rajasthan,0,0,1,0,0,0,Mar-20
56,56,57,06-Mar-20,18:00:00,Telangana,0,0,1,0,0,0,Mar-20
60,60,61,07-Mar-20,18:00:00,Telangana,0,0,1,0,0,0,Mar-20
64,64,65,07-Mar-20,18:00:00,Rajasthan,0,0,1,0,0,0,Mar-20
66,66,67,08-Mar-20,18:00:00,Telangana,0,0,1,0,0,0,Mar-20
67,67,68,08-Mar-20,18:00:00,Tamil Nadu,0,0,1,0,0,0,Mar-20
68,68,69,08-Mar-20,18:00:00,Rajasthan,0,0,1,0,0,0,Mar-20
78,78,79,09-Mar-20,18:00:00,Rajasthan,0,0,1,0,0,0,Mar-20
79,79,80,09-Mar-20,18:00:00,Tamil Nadu,0,0,1,0,0,0,Mar-20
80,80,81,09-Mar-20,18:00:00,Telangana,0,0,1,0,0,0,Mar-20
92,92,93,10-Mar-20,18:00:00,Punjab,0,0,1,0,0,0,Mar-20
93,93,94,10-Mar-20,18:00:00,Rajasthan,0,0,1,0,0,0,Mar-20
94,94,95,10-Mar-20,18:00:00,Tamil Nadu,0,0,1,0,0,0,Mar-20
95,95,96,10-Mar-20,18:00:00,Telangana,0,0,1,0,0,0,Mar-20
96,96,97,10-Mar-20,18:00:00,Jammu and Kashmir,0,0,1,0,0,0,Mar-20
101,101,102,11-Mar-20,18:00:00,Rajasthan,0,0,1,0,0,0,Mar-20
102,102,103,11-Mar-20,18:00:00,Telangana,0,0,1,0,0,0,Mar-20
105,105,106,11-Mar-20,18:00:00,Tamil Nadu,0,0,1,0,0,0,Mar-20
106,106,107,11-Mar-20,18:00:00,Jammu and Kashmir,0,0,1,0,0,0,Mar-20
107,107,108,11-Mar-20,18:00:00,Punjab,0,0,1,0,0,0,Mar-20
